position,ngrams
722,"('provid', '488', 'billion')"
723,"('488', 'billion', 'discretionari')"
724,"('billion', 'discretionari', 'fund')"
725,"('discretionari', 'fund', '33')"
726,"('fund', '33', 'billion')"
727,"('33', 'billion', 'decreas')"
728,"('billion', 'decreas', 'presid')"
729,"('decreas', 'presid', 'budget')"
730,"('presid', 'budget', 'request')"
731,"('budget', 'request', '52')"
732,"('request', '52', 'billion')"
733,"('52', 'billion', 'bill')"
734,"('billion', 'bill', '12')"
735,"('bill', '12', 'billion')"
736,"('12', 'billion', 'fiscal')"
737,"('billion', 'fiscal', 'year')"
738,"('fiscal', 'year', '2009')"
739,"('year', '2009', 'level')"
740,"('2009', 'level', 'includ')"
741,"('level', 'includ', 'supplement')"
742,"('includ', 'supplement', 'fund')"
743,"('supplement', 'fund', 'import')"
744,"('fund', 'import', 'point')"
745,"('import', 'point', 'need')"
746,"('point', 'need', 'understood')"
747,"('need', 'understood', 'senat')"
748,"('understood', 'senat', 'yesterday')"
749,"('senat', 'yesterday', 'senat')"
750,"('yesterday', 'senat', 'side')"
751,"('senat', 'side', 'aisl')"
752,"('side', 'aisl', 'critic')"
753,"('aisl', 'critic', 'bill')"
754,"('critic', 'bill', '31')"
755,"('bill', '31', 'percent')"
756,"('31', 'percent', 'fiscal')"
757,"('percent', 'fiscal', 'year')"
758,"('year', '2009', 'mislead')"
759,"('2009', 'mislead', 'account')"
760,"('mislead', 'account', 'billion')"
761,"('account', 'billion', 'dollar')"
762,"('billion', 'dollar', 'fiscal')"
763,"('dollar', 'fiscal', 'year')"
764,"('year', '2009', 'emerg')"
765,"('2009', 'emerg', 'supplement')"
766,"('emerg', 'supplement', 'fund')"
767,"('supplement', 'fund', 'standard')"
768,"('fund', 'standard', 'way')"
769,"('standard', 'way', 'busi')"
770,"('way', 'busi', 'previous')"
771,"('busi', 'previous', 'administr')"
772,"('previous', 'administr', 'ignor')"
773,"('administr', 'ignor', 'cost')"
774,"('ignor', 'cost', 'american')"
775,"('cost', 'american', 'taxpay')"
776,"('american', 'taxpay', 'disingenu')"
777,"('taxpay', 'disingenu', 'presid')"
778,"('disingenu', 'presid', 'obama')"
779,"('presid', 'obama', 'made')"
780,"('obama', 'made', 'clear')"
781,"('made', 'clear', 'intend')"
782,"('clear', 'intend', 'fund')"
783,"('intend', 'fund', 'program')"
784,"('fund', 'program', 'budget')"
785,"('program', 'budget', 'supplement')"
786,"('budget', 'supplement', 'gimmick')"
787,"('supplement', 'gimmick', 'congress')"
788,"('gimmick', 'congress', 'urg')"
789,"('congress', 'urg', 'critic')"
790,"('urg', 'critic', 'compar')"
791,"('critic', 'compar', 'appl')"
792,"('compar', 'appl', 'appl')"
793,"('appl', 'appl', 'bill')"
794,"('appl', 'bill', 'provid')"
795,"('bill', 'provid', '12')"
796,"('provid', '12', 'billion')"
797,"('12', 'billion', 'less')"
798,"('billion', 'less', 'spend')"
799,"('less', 'spend', 'fiscal')"
800,"('spend', 'fiscal', 'year')"
801,"('year', '2009', 'republican')"
802,"('2009', 'republican', 'senat')"
803,"('republican', 'senat', 'made')"
804,"('senat', 'made', 'speech')"
805,"('made', 'speech', 'omnibus')"
806,"('speech', 'omnibus', 'packag')"
807,"('omnibus', 'packag', 'account')"
808,"('packag', 'account', 'earmark')"
809,"('account', 'earmark', 'dont')"
810,"('earmark', 'dont', 'like')"
811,"('dont', 'like', 'even')"
812,"('like', 'even', 'though')"
813,"('even', 'though', 'request')"
814,"('though', 'request', 'earmark')"
815,"('request', 'earmark', 'fact')"
816,"('earmark', 'fact', 'earmark')"
817,"('fact', 'earmark', 'compris')"
818,"('earmark', 'compris', 'tini')"
819,"('compris', 'tini', 'fraction')"
820,"('tini', 'fraction', 'total')"
821,"('fraction', 'total', 'packag')"
822,"('total', 'packag', 'like')"
823,"('packag', 'like', 'past')"
824,"('like', 'past', 'year')"
825,"('past', 'year', 'stateforeign')"
826,"('year', 'stateforeign', 'oper')"
827,"('stateforeign', 'oper', 'confer')"
828,"('confer', 'agreement', 'contain')"
829,"('agreement', 'contain', 'earmark')"
830,"('contain', 'earmark', 'defin')"
831,"('earmark', 'defin', 'appropri')"
832,"('defin', 'appropri', 'committe')"
833,"('appropri', 'committe', 'fund')"
834,"('committe', 'fund', 'mani')"
835,"('fund', 'mani', 'program')"
836,"('mani', 'program', 'prioriti')"
837,"('program', 'prioriti', 'democrat')"
838,"('prioriti', 'democrat', 'republican')"
839,"('democrat', 'republican', 'includ')"
840,"('republican', 'includ', 'assist')"
841,"('includ', 'assist', 'countri')"
842,"('assist', 'countri', 'like')"
843,"('countri', 'like', 'afghanistan')"
844,"('like', 'afghanistan', 'pakistan')"
845,"('afghanistan', 'pakistan', 'iraq')"
846,"('pakistan', 'iraq', 'longstand')"
847,"('iraq', 'longstand', 'alli')"
848,"('longstand', 'alli', 'like')"
849,"('alli', 'like', 'israel')"
850,"('like', 'israel', 'egypt')"
851,"('israel', 'egypt', 'jordan')"
852,"('egypt', 'jordan', 'addit')"
853,"('jordan', 'addit', 'confer')"
854,"('addit', 'confer', 'agreement')"
855,"('agreement', 'provid', '57')"
856,"('provid', '57', 'billion')"
857,"('57', 'billion', 'combat')"
858,"('billion', 'combat', 'hivaid')"
859,"('combat', 'hivaid', 'includ')"
860,"('hivaid', 'includ', '750')"
861,"('includ', '750', 'million')"
862,"('750', 'million', 'global')"
863,"('million', 'global', 'fund')"
864,"('global', 'fund', 'fund')"
865,"('fund', 'fund', 'provid')"
866,"('fund', 'provid', 'combat')"
867,"('provid', 'combat', 'diseas')"
868,"('combat', 'diseas', 'like')"
869,"('diseas', 'like', 'malaria')"
870,"('like', 'malaria', 'tuberculosi')"
871,"('malaria', 'tuberculosi', 'neglect')"
872,"('tuberculosi', 'neglect', 'tropic')"
873,"('neglect', 'tropic', 'diseas')"
874,"('tropic', 'diseas', 'agreement')"
